Clicense,StartDate,EndDate,Fee,Bphone
粤Y65671,2023-09-09,2023-10-09,300.32,16210968278
晋P19481,2023-04-06,2023-05-06,440.81,14097098573
晋I98491,2023-04-04,2023-05-04,461.84,11300279610
粤M10024,2023-03-27,2023-04-26,315.96,11281178899
辽Y96702,2023-02-21,2023-03-23,301.9,16028817678
鲁Y24763,2023-01-04,2023-02-03,375.13,12105450223
蒙L63033,2023-06-25,2023-07-25,499.89,10171072146
浙X89015,2023-01-02,2023-02-01,391.38,12083712705
湘V64419,2023-05-08,2023-06-07,373.69,17115581790
苏B97624,2023-06-14,2023-07-14,303.33,12662938012
苏N99466,2023-11-10,2023-12-10,458.79,10171072146
晋W15585,2023-07-17,2023-08-16,358.77,16729503747
吉V99489,2023-09-12,2023-10-12,459.36,12746789341
蒙G19619,2023-12-06,2024-01-05,408.13,12293851602
黑M72248,2023-03-24,2023-04-23,485.8,14166648403
豫U70689,2023-12-07,2024-01-06,327.15,10621593622
黑M97767,2023-11-04,2023-12-04,312.93,16456421515
蒙I10079,2023-08-12,2023-09-11,461.69,12628986908
渝K95005,2023-03-01,2023-03-31,414.57,12521168643
黑Y36756,2023-07-18,2023-08-17,495.97,10213810993
豫O38226,2023-02-24,2023-03-26,379.06,19162890928
沪T35628,2023-11-04,2023-12-04,356.68,18375734060
晋P29081,2023-09-02,2023-10-02,426.22,12626828874
蒙W79787,2023-04-18,2023-05-18,469.61,18826541466
冀A53697,2023-12-04,2024-01-03,482.48,15888101287
吉J61831,2023-02-06,2023-03-08,405.57,10535027729
沪W36544,2023-10-25,2023-11-24,473.17,18765305287
晋X63817,2023-03-16,2023-04-15,341.95,16456421515
皖V89091,2023-03-17,2023-04-16,375.31,15660373732
黑S41721,2023-03-02,2023-04-01,496.06,15888101287
湘F63676,2023-09-08,2023-10-08,360.54,13463553340
浙I64011,2023-08-26,2023-09-25,472.98,17081878752
蒙A59460,2023-12-09,2024-01-08,481.7,12813706618
皖J50097,2023-04-03,2023-05-03,376.79,16196972513
京M55845,2023-07-27,2023-08-26,462.57,15318487421
津Y79815,2023-10-03,2023-11-02,442.75,16196972513
黑D05602,2023-01-03,2023-02-02,410.94,10535027729
津Q29196,2023-01-18,2023-02-17,316.92,11012083346
鲁Z25143,2023-06-03,2023-07-03,309.23,12070553284
鲁G66001,2023-06-30,2023-07-30,421.23,16456421515
湘R23160,2023-04-21,2023-05-21,491.48,13331042851
冀M49691,2023-05-14,2023-06-13,376.36,10263770441
辽U61368,2023-02-06,2023-03-08,425.91,11816638466
渝K94060,2023-03-25,2023-04-24,383.94,14166648403
豫N06332,2023-09-30,2023-10-30,322.0,14981867816
津M92971,2023-04-26,2023-05-26,354.73,16887844840
赣D57856,2023-06-06,2023-07-06,417.77,18765305287
浙F37955,2023-01-25,2023-02-24,334.15,12521168643
渝I05113,2023-07-26,2023-08-25,395.37,12662938012
苏W76444,2023-05-17,2023-06-16,310.57,19660283964
辽N57926,2023-08-28,2023-09-27,400.45,10235629044
黑C60205,2023-06-06,2023-07-06,381.3,19232116860
赣Z89457,2023-05-27,2023-06-26,410.83,12746789341
豫W10180,2023-09-12,2023-10-12,403.0,14275177144
苏H96999,2023-12-26,2024-01-25,406.86,12105450223
闽F68520,2023-11-08,2023-12-08,308.47,12924837808
沪N41936,2023-03-10,2023-04-09,402.74,17588251636
津J22275,2023-10-04,2023-11-03,470.16,18338757247
鲁B98800,2023-06-06,2023-07-06,485.82,17175136082
津A37404,2023-06-18,2023-07-18,359.67,16143033698
渝N14162,2023-02-13,2023-03-15,405.82,15888101287
皖F52964,2023-07-11,2023-08-10,359.86,15313287095
京L87121,2023-07-01,2023-07-31,449.42,14594377461
冀V14624,2023-06-19,2023-07-19,480.2,18880429026
渝K77377,2023-09-11,2023-10-11,459.96,10302934409
津Z01572,2023-07-19,2023-08-18,326.28,11309664537
湘X04204,2023-06-25,2023-07-25,385.93,16262369695
冀H21276,2023-03-20,2023-04-19,445.85,14275177144
津W76186,2023-04-12,2023-05-12,394.78,19912373573
浙B21101,2023-04-28,2023-05-28,324.09,10219550762
鲁J79240,2023-01-27,2023-02-26,376.07,14275177144
津I39728,2023-11-26,2023-12-26,310.33,16196972513
黑G22642,2023-01-21,2023-02-20,300.11,19642001549
津D66713,2023-07-06,2023-08-05,366.86,18581503029
鄂Q62250,2023-07-05,2023-08-04,448.59,15909168088
湘D09881,2023-03-08,2023-04-07,425.91,13893931994
豫T37927,2023-02-20,2023-03-22,314.98,12399775719
豫W28899,2023-03-07,2023-04-06,338.34,18765305287
津N04950,2023-07-07,2023-08-06,389.7,19145098459
渝J05767,2023-05-21,2023-06-20,439.34,15888101287
鲁C17374,2023-09-11,2023-10-11,436.94,18409759866
冀S26874,2023-04-16,2023-05-16,336.81,18408159195
蒙J75102,2023-09-26,2023-10-26,351.77,12399775719
辽E27628,2023-11-24,2023-12-24,329.63,17675596357
苏U63075,2023-03-01,2023-03-31,300.28,10700120894
湘J30882,2023-03-10,2023-04-09,381.67,11998149496
京R68957,2023-04-01,2023-05-01,351.2,12759890649
辽U65822,2023-07-15,2023-08-14,489.13,15318487421
浙E47414,2023-11-19,2023-12-19,461.55,17122924010
冀G59123,2023-04-03,2023-05-03,391.88,16195857069
湘G00299,2023-04-01,2023-05-01,463.5,10171072146
京T03108,2023-09-27,2023-10-27,327.46,17915786603
粤I16099,2023-01-23,2023-02-22,326.44,15909168088
黑W01788,2023-10-05,2023-11-04,447.23,13860423373
蒙B52500,2023-06-19,2023-07-19,395.78,16236385906
皖E02233,2023-06-01,2023-07-01,320.51,13780558590
浙V88111,2023-04-26,2023-05-26,484.34,15909168088
湘K19986,2023-05-25,2023-06-24,371.46,18893931311
湘F61638,2023-08-08,2023-09-07,406.1,10087222265
赣V32977,2023-02-23,2023-03-25,354.22,10219550762
渝K14798,2023-03-18,2023-04-17,455.56,19094743439
辽E09133,2023-10-23,2023-11-22,385.49,14275177144
